888198,FELONY,N.Y. POLICE DEPT
66943,FELONY,N.Y. HOUSING POLICE
1716,FELONY,PORT AUTHORITY
1420,FELONY,POLICE DEPT NYC
689,FELONY,HEALTH & HOSP CORP
