1514961,MISDEMEANOR,N.Y. POLICE DEPT
181917,MISDEMEANOR,N.Y. HOUSING POLICE
3857,MISDEMEANOR,PORT AUTHORITY
2816,MISDEMEANOR,POLICE DEPT NYC
1746,MISDEMEANOR,TRI-BORO BRDG TUNNL
