632551,N.Y. POLICE DEPT,MANHATTAN
86054,N.Y. HOUSING POLICE,MANHATTAN
5342,PORT AUTHORITY,MANHATTAN
1114,POLICE DEPT NYC,MANHATTAN
1089,TRI-BORO BRDG TUNNL,MANHATTAN
